Package_Title,Url,Price,Duration,Rating,Reviews,Group_size,Highlights,Itinerary
Nepal: Himalaya Highlights National Geographic Journeys,https://www.tourradar.com/t/85745,"US,$,2,399",10 days,4.8,4,15,,"Day 1: Kathmandu (1D),,Day 2: Kathmandu (1B, 1L),,Day 3: Kathmandu/Pharping (1B),,Day 4: Pharping/Kurintar (1B, 1D),,Day 5: Kurintar/Royal Chitwan National Park (1B, 1L, 1D),,Day 7: Royal Chitwan National Park/Pokhara (1B),,Day 6: Royal Chitwan National Park (1B, 1L, 1D),,Day 8: Pokhara (1B, 1L),,Day 9: Pokhara/Kathmandu (1B),,Day 10: Kathmandu (1B),"
Incredible Nepal Tour: Luxury Package,https://www.tourradar.com/t/127682,"US,$,999",10 days,4.5,5,20,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley.,,Day 3: Drive from Kathmandu to Pokhara: 200 KM/6-7 hours,,Day 4: Full day Pokhara Sightseeing Tour.,,Day 5: Early morning hiking to Sarangkot(1592 m) for sunrise view. After breakfast drive from Pokhara to Lumbini(150 m/ 490 ft): 170 KM /5-6 hours,,Day 6: Full day Lumbini Sightseeing Tour,,Day 7: Drive from Lumbini to Chitwan: 135 KM /3-4 Hours,,Day 8: Full day Chitwan Jungle Activities-Chitwan National Park,,Day 9: Drive or fly back from Chitwan to Kathmandu: 6-7 Hours drive/25 min flight,,Day 10: Departure day: transfer to the international airport for your final departure!!,"
Explore Himalaya and Jungel Safari,https://www.tourradar.com/t/130322,"US,$,960",11 days,5.0,2,15,,"Day 1: Arrival in Kathmandu (1400 m) (overnight at hotel with breakfast),,Day 2: Combined sightseeing of Kathmandu and Bhaktapur (overnight at hotel with breakfast),,Day 3: Drive to Pokhara (900 m) (overnight at hotel with breakfast),,Day 4: Drive to Nayapul (1010 m) ( 1:30 min trek to Ullere, 1960 m, 6hrs)(overnight at hotel with breakfast, lunch, and dinner),,Day 5: Trek to Ghorepani (4hrs 2874m) (overnight at hotel with breakfast, lunch, and dinner),,Day 6: Trek to Poon Hill early morning and Tadapani (3210 m and 2610 m, 7 hrs))(overnight at hotel with breakfast, lunch, and dinner) issing days,,Day 7: Trek to Ghandruk ( 1940 m, 4 hrs) (overnight at hotel with breakfast, lunch, and dinner),,Day 8: Trek to Nayapul and then drive to Pokhara, 1010 m, 5 hrs) (overnight at hotel with breakfast, lunch, and dinner),,Day 9: Rest and Sightseeing In Pokhara in Pokhara (1740 m) (overnight at hotel with breakfast),,Day 10: Drive Or Fly To Chitwan Overnight At Resort In Chitwan. (Breakfast, Lunch And Dinner Included),,Day 11: Full Day Jungle Activities,,Day 12: Drive Back To Kathmandu (1,400 M) In A Tourist Bus - 4 Hours,,Day 13:  Transfer To The International Airport For Your Final Departure,"
Annapurna Base Camp Trek,https://www.tourradar.com/t/68672,"US,$,1,549",11 days,4.0,1,12,"Visit Scenic Gurung Villages &amp; hot springs,Stunning views of Mt. Machhapuchhre and Annapurna,Glimpses of rural Nepalese lifestyle,Colorful rhododendron and oak fores","DAY 01: Arrival in Kathmandu (1,300m/4,264ft),,DAY 02 : Fly to Pokhara (827m/2,700ft), trek to Ghandruk (1940m/6360 ft): 30 minutes flight, 5 - 6 hours trek,,DAY 03: Ghandruk to Chhomrong (2170m/7120ft): 5 - 6 hours,,DAY 04: Chhomrong to Bamboo (2310m/7578ft): 4 - 5 hours,,DAY 05 : Bamboo to Deurali (3230m/10,595ft): 3 - 4 hours,,DAY 06 : Deurali to Annapurna Base Camp (4,130m/13,545ft) via Machhapuchhre Base Camp (3700m/12135ft): 5- 6 hours,,DAY 07: Annapurna Base Camp to Bamboo: 7 – 8 hours,,DAY 08: Bamboo to Jhinu Danda (1760m/5770 ft): 5 - 6 hours,,DAY 09 : Trek to Naya Pul then drive to Pokhara: 6 hours trek, 1 hour drive,,DAY 10: Fly to Kathmandu,,DAY 11: Final Departure,"
Luxury Wildlife Jungle Safari Adventure in Nepal- 7N/8D,https://www.tourradar.com/t/164762,"US,$,2,789",8 days,5.0,1,8,"Embark on a safari in a thrilling dugout canoe,Search for the elusive one-horned Indian rhino,Sight the Sloth bear, langur, monkeys and wild bear,Photograph prowling leopards and jungle cats","Day 1: Welcome to the Land of Himalayas and capital city of Nepal,,Day 2: Explore cultural highlights of Kathmandu,,Day 3: Fly from Kathmandu to Bharatpur ,,Day 4: Jeep and foot safari ,,Day 5: Boat safari down the river ,,Day 6: Enjoy your day around animals,,Day 7: Last moring in Chitwan, fly to Kathmandu ,,Day 8: Depart to your destination ,"
Everest Base Camp short Trek,https://www.tourradar.com/t/110134,"US,$,1,199",13 days,4.6,10,12,,"Day 01: Arrival in Kathmandu (1350m/4430ft)/Group meeting,,Day 02: Flight to Lukla (2828m/9279ft) 35m and trek to Phakding (2780m/9121ft) 3-4 hrs walk,,Day 03: Trek to Namche Bazaar (3440m/11287ft) 5-6 hrs walk,,Day 04: Rest day at Namche Bazaar,,Day 05: Trek to Tengboche (3850m/12632ft) 4-5 hrs walk,,Day 06: Trek to Dingboche (4350m/14272ft) 4-5 hrs walk,,Day 07: Rest day Dingboche,,Day 08: Trek to Lobuche (4910m/16109ft) 4-5 hrs walk,,Day 09: Trek to Gorakshep (5180m/16995ft) 3-4 hrs walk and Everest Base Camp (5364m/17600ft) 2-3 hrs walk,,Day 10: Trek to Kala patthar (5545m/18193ft) 2-3 hrs walk and to Pheriche (4280m/14042ft) 5-6 hrs walk,,Day 11: Trek to Namche bazaar (3440m/11287ft) 4-5 hrs walk,,Day 12: Trek to Lukla (2828m/9279ft) 5-6 hrs walk,,Day 13: Fly back to Kathmandu (1350m/4430ft ),"
Everest Base Camp Trek -Comfort,https://www.tourradar.com/t/135603,"US,$,1,259",14 days,5.0,10,12,,"Day 1: Arrival at Kathmandu (1350 m/4428 ft),,Day 2: Fly Kathmandu/Lukla (2,610 m ) and 3 hrs trek to Phakding (2810 m),,Day 3: Trek to Namche Bazzar (3,450 m/11,315 ft) - 5/ 6 hrs,,Day 4: Rest or Acclimatization at Namche Bazaar,,Day 5: Namche Bazaar to Tengboche (3864m) 4/5 hours walk,,Day 6: Trek from Tengbuche to Dingboche (4,410 m/14,485 ft) - 4/5 hrs walk approximate,,Day 7: Rest/ Acclimatization at Dingbuche,,Day 8: Trek from Dingbuche to Lobuche (4,910 m/16,105 ft)- 4 hrs walk approximate,,Day 9: Trek to Gorakshep - Everest Base Camp (5364m) and back to Gorakshep 6/7 hours walk,,Day 10: 2 hrs Hike from Gorak shep to Kalapather (5,545m/18,187ft ) then – Pariche (4,250 m/13,940 ft)- 5 hrs walk, overnight at lodge,,Day 11: Phiriche to Namche (3450m) 5/6 hours,,Day 12: Trek from Pheriche to Namche Bazzar (3,450/11,315 ft) - 6 hrs walk approximate, overnight at lodge,,Day 13: Fly back to Kathmandu (1410m),,Day 14: Final departure ,"
Mardi Himal Trek,https://www.tourradar.com/t/147987,"US,$,599",12 days,5.0,2,20,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley,,Day 3: Drive from Kathmandu to Pokhara: 200 KM/ 6-7 hours,,Day 4: Trek from Pokhara to Dhampus: 3-4 hours trek,,Day 5: Trek from Dhampus to Forest Camp: 4-5 hours trek,,Day 6: Trek from Forest Camp to Low camp: 4-5 hours trek,,Day 7: Trek from Low camp to High Camp: 4-5 hours trek,,Day 8: Free day at High Camp. (Exploring Day),,Day 9: Trek from High Camp to Siding Village: 4-5 hours trek,,Day 10: Trek from Siding Village back to Pokhara: 4-5 hours trek,,Day 11: Drive to Kathmandu from Pokhara: 200 km/ 5-6 hours drive,,Day 12: Departure day: transfer to the international airport for your final departure!!,"
Luxury Kathmandu Tour with the Everest view from Nagarkot,https://www.tourradar.com/t/174344,"US,$,499",5 days,5.0,1,18,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley,,Day 3: Sightseeing tour of Bhaktapur Durbar Square and drive to Nagarkot.,,Day 4: Drive from Nagarkot to Kathmandu,,Day 5: Departure day: transfer to the international airport for your final departure!!,"
Bardia National Park Jungle safari tour - 3 Nights / 4 Days,https://www.tourradar.com/t/145423,"US,$,899",4 days,5.0,5,10,"Search for elusive Bengal tigers and one-horned rhinos,Spot leopards, civets, hyenas, sloth bears and deer,Photograph gigantic crocodiles and dancing dolphins,Witness a cultural dance from the local people","Day 01 : Fly to Nepalgunj and Drive to Bardia National Park.,, Day 02: Full day Jungle walk,,Day 03: Full Day Jeep Safari,,Day 04: Breakfast and Departure after lunch as per Schedule.,"
Ghorepani Poon Hill Sunrise trek with Chitwan Jungle Safari,https://www.tourradar.com/t/138093,"US,$,749",12 days,4.8,5,20,,"Day 1: Arrival in Kathmandu airport and Pre-trip meeting.,,Day 2: A full day recreational tour of Kathmandu, the capital valley.,,Day 3: Drive from Kathmandu to Nayapul via Pokhara and Trek to Tikhedhunga: 250 KM/7-8 hour drive/2-3 hour trek,,Day 4: Trek from Tikedhunga to Ghorepani: 3-4 Hours trek,,Day 5: Hike to Poon Hill and trek to Tadapani: 5-6 hours trek,,Day 6: Trek from Tadapani to Ghandruk: 3-4 Hours trek,,Day 7: Trek from Ghandruk to Nayapul &amp; Drive to Pokhara: 3-4 hour trek/1 Hours drive,,Day 8: A full day Pokhara Sightseeing tour.,,Day 9: Drive from Pokhara to Chitwan : 135 Km / 4-5 Hours Drive,,Day 10: Chitwan Jungle Safari (Full Day Jungle Activities),,Day 11: Drive or fly back to Kathmandu from Chitwan: 5-6 Hours drive/25 minute flight,,Day 12: Departure day: transfer to the international airport for your final departure!!,"
